idAnime,name,type,episodes,status,idStudios,studios,idGenres,genres,score,idRanking,ranked
111,Sousou no Frieren,TV,28,Finished Airing,abc111,Madhouse,A1,"['Adventure', 'Drama', 'Fantasy']",9.36,1010,#1
222,Steins;Gate,TV,24,Finished Airing,abc112,White Fox,A2,"['Drama', 'Sci-Fi', 'Suspense']",9.07,1111,#3
333,Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,abc113,Bones,A3,"['Action', 'Adventure', 'Drama', 'Fantasy']",9.09,1212,#2
444,Gintama°,TV,51,Finished Airing,abc114,Bandai Namco Pictures,A4,"['Action', 'Comedy', 'Sci-Fi']",9.06,1313,#4
555,Shingeki no Kyojin Season 3 Part 2,TV,10,Finished Airing,abc115,Wit Studio,A5,"['Action', 'Drama', 'Suspense']",9.05,1414,#5
666,Gintama: The Final,Movie,1,Finished Airing,abc116,Bandai Namco Pictures,A6,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",9.04,1515,#6
777,Gintama',TV,51,Finished Airing,abc117,Sunrise,A7,"['Action', 'Comedy', 'Sci-Fi']",9.03,1616,#7
888,Hunter x Hunter (2011),TV,148,Finished Airing,abc118,Madhouse,A8,"['Action', 'Adventure', 'Fantasy']",9.03,1717,#8
999,Ginga Eiyuu Densetsu,OVA,110,Finished Airing,abc119,K-Factory,A9,"['Drama', 'Sci-Fi']",9.02,1818,#9
1110,Gintama': Enchousen,TV,13,Finished Airing,abc120,Sunrise,A10,"['Action', 'Comedy', 'Sci-Fi']",9.02,1919,#10
1221,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,Finished Airing,abc121,A-1 Pictures,A11,"['Comedy', 'Romance']",9.01,2020,#12
1332,Bleach: Sennen Kessen-hen,TV,13,Finished Airing,abc122,Pierrot,A12,"['Action', 'Adventure', 'Fantasy']",9.01,2121,#11
1443,Fruits Basket: The Final,TV,13,Finished Airing,abc123,TMS Entertainment,A13,"['Drama', 'Romance', 'Supernatural']",8.98,2222,#13
1554,Gintama,TV,201,Finished Airing,abc124,Sunrise,A14,"['Action', 'Comedy', 'Sci-Fi']",8.94,2323,#15
1665,Clannad: After Story,TV,24,Finished Airing,abc125,Kyoto Animation,A15,"['Drama', 'Romance', 'Supernatural']",8.93,2424,#16
1776,3-gatsu no Lion 2nd Season,TV,22,Finished Airing,abc126,Shaft,A16,[],8.92,2525,#18
1887,Gintama.,TV,12,Finished Airing,abc127,Bandai Namco Pictures,A17,"['Action', 'Comedy', 'Sci-Fi']",8.98,2626,#14
1998,Code Geass: Hangyaku no Lelouch R2,TV,25,Finished Airing,abc128,Sunrise,A18,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",8.91,2727,#19
